,A ,K,annual mean wind speed,V50,turbulent intensity,air density,wind shear,inflow angle,power,BR_Mx_m4,BR_My_m4,BR_Mz_m4,BR_Fx_m4,BR_Fy_m4,BR_Fz_m4,BR_Mx_m9,BR_My_m9,BR_Mz_m9,BR_Fx_m9,BR_Fy_m9,BR_Fz_m9,Hubfix_Mx_m9,Hubfix_My_m9,Hubfix_Mz_m9,Hubfix_Fx_m9,Hubfix_Fy_m9,Hubfix_Fz_m9,Hubrot_Mx_m9,Hubrot_My_m9,Hubrot_Mz_m9,Hubrot_Fx_m9,Hubrot_Fy_m9,Hubrot_Fz_m9,TT_Mx,TT_My,TT_Mz,TT_Fx,TT_Fy,TT_Fz,TB_Mx,TB_My,TB_Mz,TB_Fx,TB_Fy,TB_Fz
Hubrot_Mx_m9,-0.28,0.27,-0.27,-0.44,0.84,0.1,0,-0.13,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubrot_My_m9,0.15,0.04,0.08,-0.12,0.63,0.29,0.6,0.07,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubrot_Mz_m9,0.15,0.04,0.09,-0.13,0.64,0.28,0.58,0.06,-0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubrot_Fx_m9,-0.23,0.42,-0.2,-0.28,0.59,0.74,0,-0.08,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubrot_Fy_m9,0.82,0.6,0.54,0.37,-0.07,0.03,0.05,-0.3,-0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubrot_Fz_m9,0.82,0.6,0.54,0.38,-0.06,0.03,0.05,-0.3,-0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TT_Mx,-0.22,0.32,-0.26,-0.45,0.95,0.13,0.07,-0.07,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TT_My,0.16,0.17,0.05,-0.2,0.84,0.17,0.13,-0.14,-0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TT_Mz,0.16,0.18,0.04,-0.21,0.84,0.17,0.11,-0.13,-0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TT_Fx,-0.04,0.28,-0.1,-0.34,0.89,0.32,0.1,-0.08,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TT_Fy,0.61,-0.32,0.53,0.45,0.16,-0.11,0.01,-0.17,-0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TT_Fz,0.21,0.11,0.09,-0.17,0.83,0.09,0.09,-0.1,-0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TB_Mx,0.6,-0.34,0.54,0.48,0.13,-0.13,0.01,-0.16,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TB_My,-0.07,0.28,-0.12,-0.35,0.9,0.33,0.08,-0.09,-0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TB_Mz,0.16,0.18,0.04,-0.21,0.84,0.17,0.11,-0.13,-0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TB_Fx,0.09,0.19,0,-0.25,0.87,0.22,0.09,-0.11,-0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TB_Fy,0.59,-0.2,0.46,0.3,0.34,-0.03,0,-0.18,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TB_Fz,0.21,0.11,0.09,-0.17,0.83,0.09,0.09,-0.1,-0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
